               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.014297,           0.0053491,           0.0039668,             0.96024,              0.6855,             0.75061,             0.61886,            0.047837,           0.0094458,            0.030333,            0.001585,            0.001585,            0.001585
                  87,             0.01477,           0.0052617,           0.0048479,             0.95738,             0.68376,             0.75065,             0.61511,            0.048222,           0.0093662,            0.030421,            0.001486,            0.001486,            0.001486
                  88,            0.013454,           0.0050083,           0.0032915,              0.9608,             0.68339,             0.74879,             0.59826,            0.048563,           0.0094227,            0.030376,            0.001387,            0.001387,            0.001387
                  89,            0.013047,           0.0054539,           0.0038484,             0.96323,             0.68367,             0.74845,              0.6133,            0.048205,           0.0095437,            0.030834,            0.001288,            0.001288,            0.001288
                  90,            0.013114,           0.0059284,           0.0043684,             0.96223,             0.68381,             0.74773,             0.62842,            0.047809,           0.0095627,             0.03058,            0.001189,            0.001189,            0.001189
                  91,            0.012828,           0.0049244,           0.0035341,             0.96688,             0.68397,             0.74862,             0.62508,            0.048267,           0.0094692,            0.030712,             0.00109,             0.00109,             0.00109
                  92,            0.012602,           0.0048601,           0.0040396,              0.9698,             0.68339,             0.74855,              0.6316,            0.048466,           0.0093446,            0.030434,            0.000991,            0.000991,            0.000991
                  93,            0.012889,           0.0056458,            0.003963,              0.9699,             0.68338,             0.74867,             0.62658,            0.048538,            0.009311,            0.029883,            0.000892,            0.000892,            0.000892
                  94,             0.01293,           0.0054012,           0.0030653,              0.9666,             0.68339,             0.74746,             0.62495,            0.048416,           0.0093098,            0.029857,            0.000793,            0.000793,            0.000793
                  95,             0.01202,           0.0050637,            0.003167,             0.96523,             0.68303,             0.74688,             0.62455,            0.048336,           0.0092744,            0.029824,            0.000694,            0.000694,            0.000694
                  96,            0.011948,           0.0051909,           0.0038844,             0.96335,             0.68277,             0.74655,             0.62625,            0.048055,           0.0092796,            0.029709,            0.000595,            0.000595,            0.000595
                  97,            0.011909,            0.004754,           0.0037925,             0.96351,             0.68294,             0.74801,             0.63166,            0.048438,            0.009229,            0.030028,            0.000496,            0.000496,            0.000496
                  98,            0.011586,           0.0053052,           0.0029209,             0.95995,             0.68239,             0.74828,             0.63175,            0.048612,           0.0092365,            0.030349,            0.000397,            0.000397,            0.000397
                  99,            0.012557,           0.0055295,           0.0028739,             0.95866,             0.68153,             0.74725,             0.62634,            0.048667,           0.0092515,            0.030604,            0.000298,            0.000298,            0.000298
